customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-000020,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,80.27,1026.69,No
7590-000021,Female,1,Yes,No,7,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.07,475.22,Yes
7590-000022,Male,0,Yes,No,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),65.24,1504.7,No
7590-000023,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.94,1126.9,No
7590-000024,Female,1,Yes,No,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,85.97,4098.58,No
7590-000025,Female,0,No,No,62,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,78.46,4855.84,No
7590-000026,Female,0,No,No,25,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),60.61,1536.01,No
7590-000027,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,62.61,553.85,No
7590-000028,Female,0,No,Yes,57,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),68.34,3892.29,No
7590-000029,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.66,957.91,No
7590-000030,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,76.71,5493.15,No
7590-000031,Male,0,Yes,Yes,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,61.69,4311.31,No
7590-000032,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.0,1063.54,No
7590-000033,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,73.07,2163.85,No
7590-000034,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),73.22,3617.13,No
7590-000035,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.85,1193.09,No
7590-000036,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,67.93,4782.03,No
7590-000037,Female,1,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.74,2730.63,No
7590-000038,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,76.94,1094.02,No
7590-000039,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),64.77,2395.71,No
7590-000040,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,81.67,5737.78,No
7590-000041,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),63.32,4520.68,No
7590-000042,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.77,496.34,No
7590-000043,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,76.68,1131.39,No
7590-000044,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),85.84,5678.23,No
7590-000045,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.76,2125.29,Yes
7590-000046,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,79.35,976.22,No
7590-000047,Female,1,No,Yes,63,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,59.83,3799.95,No
7590-000048,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,83.7,5022.51,No
7590-000049,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,57.16,1757.77,No
7590-000050,Female,0,No,Yes,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.96,781.79,Yes
7590-000051,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,76.19,3036.92,Yes
7590-000052,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,71.49,4617.86,No
7590-000053,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,51.03,397.04,No
7590-000054,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,79.68,4611.13,Yes
7590-000055,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),59.14,1450.46,No
7590-000056,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,72.51,265.39,No
7590-000057,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,51.83,2279.97,No
7590-000058,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.5,33.57,No
7590-000059,Male,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),63.85,2665.78,No
7590-000060,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.13,913.43,No
7590-000061,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,83.77,126.48,Yes
7590-000062,Male,0,Yes,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,61.85,2830.3,No
7590-000063,Male,0,No,No,21,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,70.91,1529.66,No
7590-000064,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.83,2668.57,No
7590-000065,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.12,1004.09,No
7590-000066,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.43,510.85,No
7590-000067,Female,0,No,No,55,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),78.83,4343.6,No
7590-000068,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),83.14,175.92,Yes
7590-000069,Female,1,Yes,No,69,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.57,3730.12,No
7590-000070,Female,0,No,No,48,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),68.89,3249.17,No
7590-000071,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.87,2113.62,No
7590-000072,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.85,807.59,Yes
7590-000073,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.45,1733.95,Yes
7590-000074,Female,1,No,No,15,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.55,914.48,No
7590-000075,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,77.93,1203.45,No
7590-000076,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),49.4,17.06,No
7590-000077,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.03,2217.06,No
7590-000078,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.24,1927.82,No
7590-000079,Male,0,Yes,No,65,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,57.63,3764.16,No
7590-000080,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),51.33,1867.42,No
7590-000081,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.03,599.99,No
7590-000082,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,70.35,4257.65,No
7590-000083,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,82.09,1621.7,No
7590-000084,Female,0,Yes,Yes,36,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,43.75,1566.62,No
7590-000085,Male,0,No,Yes,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),81.5,2755.77,No
7590-000086,Male,1,Yes,No,37,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,61.96,2265.31,No
7590-000087,Female,0,Yes,No,52,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.77,3610.74,No
7590-000088,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,76.65,1061.13,No
7590-000089,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,70.86,2916.86,No
7590-000090,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.79,251.79,Yes
7590-000091,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),64.93,2432.76,No
7590-000092,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),72.75,1611.81,No
7590-000093,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,66.23,921.06,No
7590-000094,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.83,912.38,Yes
7590-000095,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,1263.83,No
7590-000096,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),75.75,3970.3,No
7590-000097,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,70.26,2572.19,Yes
7590-000098,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),66.03,1786.81,No
7590-000099,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.38,475.36,Yes
7590-000100,Male,0,No,No,68,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),45.67,3103.84,No
7590-000101,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.22,1479.25,No
7590-000102,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.58,249.04,No
7590-000103,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.66,281.02,No
7590-000104,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.86,306.43,Yes
7590-000105,Female,0,Yes,Yes,68,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,58.68,3982.43,No
7590-000106,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),67.57,389.33,No
7590-000107,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),88.69,3798.47,No
7590-000108,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,71.46,1572.17,No
7590-000109,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.4,48.21,No
7590-000110,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.96,1115.53,No
7590-000111,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.99,2087.81,No
7590-000112,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.7,1360.36,No
7590-000113,Female,0,No,Yes,43,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.88,2622.26,No
7590-000114,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.5,2463.32,No
7590-000115,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,70.2,3534.52,Yes
7590-000116,Female,1,No,No,30,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),69.69,2079.92,No
7590-000117,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.61,2246.69,No
7590-000118,Female,0,Yes,No,57,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),62.71,3557.34,No
7590-000119,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,88.67,356.01,No
7590-000120,Male,0,No,No,32,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,71.67,2245.69,No
7590-000121,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),70.91,2987.93,No
7590-000122,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.29,810.1,No
7590-000123,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.17,604.94,No
7590-000124,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.52,75.65,No
7590-000125,Male,0,Yes,Yes,0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,65.99,22.5,Yes
7590-000126,Female,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),61.47,2478.53,No
7590-000127,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,84.77,4007.44,No
7590-000128,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,76.27,2903.0,No
7590-000129,Female,1,Yes,No,4,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,66.45,284.7,No
7590-000130,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,71.3,721.5,No
7590-000131,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.21,735.81,No
7590-000132,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,66.19,4177.02,No
7590-000133,Male,0,Yes,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,68.31,763.16,No
7590-000134,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,72.48,3734.62,No
7590-000135,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.41,1689.81,No
7590-000136,Male,0,Yes,Yes,52,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.62,3731.45,No
7590-000137,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,66.64,1350.3,No
7590-000138,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.62,1358.29,No
7590-000139,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,32.04,2224.63,No
7590-000140,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,75.08,5346.76,No
7590-000141,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,73.13,4722.52,Yes
7590-000142,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.5,1256.1,No
7590-000143,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),72.28,3458.03,No
7590-000144,Female,1,No,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),66.41,3838.4,No
7590-000145,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),60.65,1338.82,No
7590-000146,Male,1,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,70.74,140.82,No
7590-000147,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),60.8,3332.17,No
7590-000148,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.44,1605.46,No
7590-000149,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),80.26,4894.16,No
7590-000150,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),32.98,536.77,No
7590-000151,Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,63.04,3781.93,No
7590-000152,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.67,2527.95,No
7590-000153,Male,1,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),85.8,4555.9,No
7590-000154,Male,0,No,No,64,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),41.55,2688.7,No
7590-000155,Male,1,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.11,729.35,Yes
7590-000156,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.67,131.79,No
7590-000157,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,68.44,4185.67,No
7590-000158,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,67.64,0.0,No
7590-000159,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.82,2308.06,No
7590-000160,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),56.84,3769.66,No
7590-000161,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),70.62,1347.15,No
7590-000162,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.06,1017.39,No
7590-000163,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.24,1291.64,No
7590-000164,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,76.73,5206.32,No
7590-000165,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.22,1295.23,No
7590-000166,Male,1,No,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.88,4568.41,No
7590-000167,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,62.01,2919.64,No
7590-000168,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,76.51,393.4,No
7590-000169,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,66.9,2741.9,No
7590-000170,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,85.39,4881.87,No
7590-000171,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,78.12,3276.22,No
7590-000172,Male,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.01,169.19,Yes
7590-000173,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,91.61,3504.56,No
7590-000174,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.95,321.57,No
7590-000175,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.78,2824.34,No
7590-000176,Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),87.34,865.97,No
7590-000177,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.86,1183.74,No
7590-000178,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,71.95,2288.93,No
7590-000179,Male,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,85.92,5052.07,No
